"","true","pred","no","yes"
"142","no","no",0.646438493307339,0.353561506692661
"143","no","no",0.915671775377796,0.0843282246222035
"144","no","no",0.937103531739511,0.0628964682604892
"145","no","no",0.87681611179977,0.12318388820023
"146","no","no",0.906086631951058,0.0939133680489419
"147","no","no",0.855637403946255,0.144362596053746
"148","no","no",0.895544410967178,0.104455589032823
"149","no","no",0.896600828865887,0.103399171134113
"150","no","no",0.878299739103646,0.121700260896354
"151","no","no",0.865738944109493,0.134261055890508
"152","no","no",0.93851231965504,0.0614876803449601
"153","no","no",0.919380360465331,0.0806196395346691
"154","no","no",0.934284583856869,0.0657154161431315
"155","no","no",0.921901853631189,0.0780981463688107
"156","yes","no",0.892402415687535,0.107597584312465
"157","no","no",0.887055741005578,0.112944258994421
"158","no","no",0.842660449574353,0.157339550425648
"159","no","no",0.900815795124451,0.0991842048755496
"160","no","no",0.878084531964597,0.121915468035403
"161","no","no",0.893333332908134,0.106666667091867
"162","no","no",0.926639974570856,0.0733600254291442
"163","no","no",0.896390842421574,0.103609157578426
"164","no","no",0.827985334680779,0.172014665319222
"165","no","no",0.838499589358272,0.161500410641729
"166","no","no",0.935657469763292,0.0643425302367075
"167","no","no",0.937946609923967,0.0620533900760336
"168","no","no",0.937429976131663,0.0625700238683378
"169","no","no",0.923604383009735,0.0763956169902654
"170","no","no",0.927250347976906,0.0727496520230938
"171","no","no",0.944610578771908,0.0553894212280917
"172","no","no",0.878744379532716,0.121255620467284
"173","no","no",0.923939958727751,0.0760600412722492
"174","no","no",0.932051645030427,0.0679483549695734
"175","no","no",0.917067531916252,0.0829324680837486
"176","no","no",0.848957618018531,0.15104238198147
"177","no","no",0.828187258830992,0.171812741169008
"178","no","no",0.906852971873569,0.0931470281264318
"179","no","no",0.923260560591137,0.0767394394088628
"180","no","no",0.885056397375054,0.114943602624945
"181","no","no",0.900807725227009,0.0991922747729911
"182","no","no",0.892160248048568,0.107839751951432
"183","no","no",0.851991482875838,0.148008517124162
"184","no","no",0.885649726727066,0.114350273272934
"185","no","no",0.917480455098008,0.0825195449019921
"186","no","no",0.927105418147887,0.0728945818521124
"187","no","no",0.792330198892104,0.207669801107897
"188","no","no",0.906960019023992,0.0930399809760078
"189","no","no",0.924262922750407,0.075737077249593
"190","no","no",0.939551528690008,0.060448471309992
"191","no","no",0.907360802420649,0.0926391975793506
"192","no","no",0.8718185392231,0.1281814607769
"193","no","no",0.886974155193644,0.113025844806356
"194","no","no",0.8631497857504,0.1368502142496
"195","no","no",0.9414032461082,0.0585967538918005
"196","no","no",0.925487678526293,0.0745123214737074
"197","no","no",0.877018000580589,0.12298199941941
"198","no","no",0.886653641323446,0.113346358676554
"199","no","no",0.875477790332551,0.124522209667449
"200","yes","no",0.893987261412242,0.106012738587758
"201","no","no",0.888863462382597,0.111136537617403
"202","no","no",0.899221150503272,0.100778849496728
"203","no","no",0.917087635334495,0.0829123646655052
"204","no","no",0.914241733751425,0.0857582662485752
"205","no","no",0.939641912641755,0.0603580873582444
"206","no","no",0.897871857539488,0.102128142460512
"207","no","no",0.8857225585544,0.1142774414456
"208","no","no",0.928930097444299,0.0710699025557012
"209","no","no",0.832030608241301,0.167969391758698
"210","no","no",0.908091247171628,0.0919087528283728
"211","no","no",0.843588990455017,0.156411009544984
"212","no","no",0.889679675086334,0.110320324913666
"213","no","no",0.878288290659807,0.121711709340194
"214","no","no",0.899872483054461,0.100127516945539
"215","no","no",0.919892122054305,0.0801078779456952
"216","no","no",0.93643743702377,0.0635625629762304
"217","no","no",0.947078272607602,0.0529217273923982
"218","no","no",0.815325299927595,0.184674700072406
"219","no","no",0.921393752460281,0.0786062475397183
"220","no","no",0.774806227327036,0.225193772672964
"221","no","no",0.925435649516022,0.0745643504839781
"222","no","no",0.934816407106993,0.0651835928930066
"223","no","no",0.910250941685591,0.0897490583144092
"224","no","no",0.90140280514478,0.0985971948552203
"225","no","no",0.923239493240081,0.0767605067599186
"226","no","no",0.929281268117702,0.0707187318822981
"227","no","no",0.916772500164434,0.0832274998355664
"228","no","no",0.904154383322832,0.0958456166771681
"229","no","no",0.927857037400424,0.0721429625995761
"230","no","no",0.938139469767115,0.0618605302328855
"231","no","no",0.871807074325047,0.128192925674954
"232","no","no",0.92832667619278,0.0716733238072203
"233","no","no",0.923758263432731,0.0762417365672697
"234","no","no",0.912764554270506,0.0872354457294944
"235","no","no",0.894560197352626,0.105439802647374
"236","no","no",0.907702569894019,0.0922974301059812
"237","no","no",0.808165077285139,0.191834922714861
"238","no","no",0.890252456277554,0.109747543722446
"239","no","no",0.848568798769412,0.151431201230588
"240","yes","no",0.865065370354737,0.134934629645264
"241","no","no",0.848403134701574,0.151596865298427
"242","no","no",0.868347471159454,0.131652528840546
"243","no","no",0.922350470124841,0.077649529875159
"244","no","no",0.884259396573131,0.115740603426869
"245","yes","no",0.883017736126346,0.116982263873654
"246","no","no",0.862947168781356,0.137052831218644
"247","no","no",0.909042743750876,0.0909572562491233
"248","no","no",0.863898627632504,0.136101372367496
"249","no","no",0.926853981193699,0.0731460188063008
"250","no","no",0.844009161198033,0.155990838801967
"251","no","no",0.886907560978624,0.113092439021377
"252","no","no",0.851601719540975,0.148398280459026
"253","no","no",0.76713115148823,0.23286884851177
"254","no","no",0.928148808696292,0.0718511913037079
"255","no","no",0.885892414113451,0.114107585886549
"256","no","no",0.907794676470632,0.0922053235293687
"257","no","no",0.830370357980697,0.169629642019303
"258","no","no",0.858963896829896,0.141036103170104
"259","no","no",0.906018628458271,0.0939813715417291
"260","no","no",0.846991134500033,0.153008865499968
"261","no","no",0.666674606096935,0.333325393903066
"262","no","no",0.795357840369684,0.204642159630316
"263","no","no",0.912313820484808,0.0876861795151924
"264","no","no",0.943753657142805,0.0562463428571951
"265","no","no",0.934792487811625,0.0652075121883747
"266","no","no",0.865738332854375,0.134261667145625
"267","no","no",0.85539066306655,0.14460933693345
"268","no","no",0.915372489372163,0.0846275106278374
"269","no","no",0.828921708266955,0.171078291733046
"270","no","no",0.928641061377729,0.0713589386222704
"271","no","no",0.888354061922807,0.111645938077193
"272","no","no",0.906109308393853,0.0938906916061465
"273","no","no",0.806989715484986,0.193010284515015
"274","no","no",0.854414967214458,0.145585032785543
"275","no","no",0.938799459072194,0.061200540927806
"276","no","no",0.907542441484827,0.0924575585151729
"277","no","no",0.896176403618202,0.103823596381798
"278","no","no",0.89314922874293,0.10685077125707
"279","no","no",0.876335465321375,0.123664534678625
"280","no","no",0.937056025585226,0.0629439744147737
"281","no","no",0.888426532341254,0.111573467658746
"282","no","no",0.886206435516663,0.113793564483338
"283","no","no",0.910820436869271,0.0891795631307288
"284","no","no",0.870481314678217,0.129518685321783
"285","no","no",0.952836267857857,0.0471637321421434
"286","no","no",0.952836267857857,0.0471637321421434
"287","no","no",0.889798522708995,0.110201477291006
"288","no","no",0.919821803504659,0.0801781964953405
"289","no","no",0.918659615385495,0.0813403846145052
"290","no","no",0.899298999050323,0.100701000949677
"291","no","no",0.881093542940384,0.118906457059616
"292","no","no",0.921277194219528,0.0787228057804709
"293","no","no",0.923745206365556,0.0762547936344442
"294","no","no",0.72119864889656,0.27880135110344
"295","no","no",0.86977321591304,0.13022678408696
"296","no","no",0.876197249212295,0.123802750787705
"297","no","no",0.85216308420398,0.147836915796019
"298","no","no",0.918747462914341,0.0812525370856584
"299","no","no",0.897627668020559,0.102372331979441
"300","no","no",0.814291693509863,0.185708306490137
"301","no","no",0.902623422341519,0.0973765776584812
"302","no","no",0.854365303464835,0.145634696535165
"303","no","no",0.900007184369484,0.0999928156305162
"304","no","no",0.896634648482259,0.103365351517741
"305","no","no",0.93818326436696,0.0618167356330405
"306","no","no",0.901607914692936,0.0983920853070643
"307","no","no",0.881064173526457,0.118935826473543
"308","no","no",0.881083574864066,0.118916425135934
"309","no","no",0.838364299368956,0.161635700631043
"310","no","no",0.931800878155006,0.0681991218449946
"311","no","no",0.927375690690412,0.0726243093095889
"312","no","no",0.922890128421335,0.0771098715786656
"313","no","no",0.899216617294464,0.100783382705536
"314","no","no",0.84449318496759,0.15550681503241
"315","no","no",0.87329036309343,0.12670963690657
"316","no","no",0.93084776997648,0.069152230023519
"317","no","no",0.924649116698922,0.075350883301078
"318","no","no",0.924251975118721,0.0757480248812794
"319","no","no",0.832634168489621,0.16736583151038
"320","no","no",0.898009031581642,0.101990968418357
"321","no","no",0.917944025010215,0.082055974989785
"322","no","no",0.862607939744708,0.137392060255293
"323","no","no",0.915588595550274,0.0844114044497271
"324","no","no",0.919462789725401,0.0805372102745993
"325","no","no",0.941949916175849,0.0580500838241515
"326","no","no",0.933076769267847,0.0669232307321529
"327","no","no",0.772388119309676,0.227611880690325
"328","no","no",0.926370240475043,0.073629759524957
"329","no","no",0.904566995156124,0.0954330048438757
"330","no","no",0.903052934107471,0.0969470658925293
"331","no","no",0.911221942536792,0.0887780574632082
"332","yes","no",0.924396259062037,0.0756037409379623
"333","no","no",0.919218370746944,0.0807816292530561
"334","no","no",0.931284627659716,0.0687153723402843
"335","no","no",0.911373428236821,0.088626571763179
"336","no","no",0.821409606077102,0.178590393922898
"337","no","no",0.903314744224414,0.0966852557755863
"338","no","no",0.925092305002619,0.074907694997381
"339","no","no",0.952923932812772,0.0470760671872284
"340","no","no",0.921254519615534,0.078745480384467
"341","no","no",0.916778241613402,0.0832217583865982
"342","no","no",0.904750433032265,0.0952495669677354
"343","no","no",0.926453357835288,0.0735466421647121
"344","no","no",0.911987639414654,0.0880123605853465
"345","no","no",0.925317100981109,0.0746828990188905
"346","no","no",0.896376427800148,0.103623572199853
"347","no","no",0.845864390795712,0.154135609204288
"348","no","no",0.89455636301761,0.10544363698239
"349","no","no",0.927100426032559,0.0728995739674418
"350","no","no",0.942511466844839,0.0574885331551608
"351","no","no",0.907695144239707,0.0923048557602931
"352","no","no",0.895885469703059,0.104114530296941
"353","no","no",0.902808764754623,0.0971912352453778
"354","no","no",0.831697353041005,0.168302646958994
"355","no","no",0.790050393071734,0.209949606928266
"356","no","no",0.932647471916934,0.0673525280830661
"357","no","no",0.914974300867961,0.08502569913204
"358","yes","no",0.921603665950927,0.0783963340490727
"359","no","no",0.799108548545135,0.200891451454865
"360","no","no",0.859683398886895,0.140316601113105
"361","no","no",0.94186658961993,0.0581334103800695
"362","no","no",0.939778143369594,0.0602218566304059
"363","no","no",0.937680325971819,0.0623196740281812
"364","no","no",0.842529512240365,0.157470487759635
"365","no","no",0.916162253076434,0.0838377469235664
"366","no","no",0.899571324970334,0.100428675029667
"367","no","no",0.924132552235001,0.0758674477649989
"368","no","no",0.917421590805347,0.0825784091946534
"369","no","no",0.971100149911832,0.0288998500881673
"370","no","no",0.820526402880156,0.179473597119844
"371","yes","no",0.916069034321411,0.0839309656785896
"372","no","no",0.926326241604157,0.0736737583958433
"373","no","no",0.891224076507719,0.108775923492282
"374","no","no",0.881803691395554,0.118196308604446
"375","yes","no",0.899640112264484,0.100359887735516
"376","no","no",0.807717884347928,0.192282115652073
"377","no","no",0.923146453712135,0.0768535462878659
"378","no","no",0.877557099680402,0.122442900319598
"379","no","no",0.936518308301371,0.0634816916986293
"380","no","no",0.907563207419836,0.0924367925801644
"381","no","no",0.845983997537527,0.154016002462473
"382","no","no",0.854301764120272,0.145698235879727
"383","no","no",0.915353665249498,0.0846463347505026
"384","no","no",0.920276140197094,0.0797238598029059
"385","no","no",0.920250273200677,0.0797497267993223
"386","no","no",0.947415355463861,0.0525846445361394
"387","no","no",0.949422682450394,0.0505773175496063
"388","no","no",0.89698818095417,0.10301181904583
"389","no","no",0.738180317900288,0.261819682099713
"390","no","no",0.925941982763292,0.0740580172367078
"391","no","no",0.872900413486374,0.127099586513626
"392","no","no",0.886310035162317,0.113689964837683
"393","no","no",0.810313381886654,0.189686618113345
"394","no","no",0.821482072803789,0.178517927196211
"395","no","no",0.925822290928389,0.0741777090716113
"396","no","no",0.924342251078064,0.0756577489219371
"397","no","no",0.935575298783322,0.0644247012166783
"398","no","no",0.925950441581887,0.074049558418113
"399","no","no",0.938856282140088,0.0611437178599121
"400","no","no",0.914134156546251,0.0858658434537496
"401","no","no",0.891735085658331,0.108264914341669
"402","no","no",0.927377641920195,0.0726223580798055
"403","no","no",0.908160035911845,0.0918399640881551
"404","no","no",0.938222596043705,0.0617774039562947
"405","no","no",0.900864144491032,0.0991358555089686
"406","no","no",0.863192098383854,0.136807901616146
"407","no","no",0.930778742017971,0.0692212579820302
"408","no","no",0.911617251513408,0.0883827484865924
"409","yes","no",0.881455290351658,0.118544709648342
"410","no","no",0.941301083922589,0.0586989160774106
"411","no","no",0.877520591179489,0.122479408820511
"412","no","no",0.903845674264021,0.0961543257359792
"413","no","no",0.949825885204851,0.0501741147951496
"414","no","no",0.842628039220301,0.157371960779699
"415","no","no",0.931686891847866,0.068313108152134
"416","no","no",0.846035883805707,0.153964116194294
"417","no","no",0.867588810514071,0.132411189485929
"418","no","no",0.885360395871387,0.114639604128613
"419","no","no",0.856706662477281,0.143293337522719
"420","no","no",0.913855571452333,0.086144428547667
"421","no","no",0.946048188550449,0.0539518114495514
"422","no","no",0.863935493249896,0.136064506750104
"423","no","no",0.926298870719992,0.0737011292800079
"424","no","no",0.913455105853899,0.0865448941461014
"425","no","no",0.93042307160899,0.0695769283910103
"426","no","no",0.850883575798574,0.149116424201426
"427","no","no",0.94481606745365,0.0551839325463502
"428","no","no",0.816072301443983,0.183927698556018
"429","no","no",0.922665554829976,0.0773344451700233
"430","no","no",0.843934871067702,0.156065128932299
"431","no","no",0.934321982321975,0.0656780176780253
"432","no","no",0.92130366502091,0.07869633497909
"433","no","no",0.966095929030348,0.0339040709696519
"434","no","no",0.913298493360014,0.0867015066399861
"435","no","no",0.88786259577181,0.112137404228189
"436","no","no",0.938688865977832,0.0613111340221681
"437","no","no",0.850824064293045,0.149175935706955
"438","no","no",0.93312441270872,0.0668755872912799
"439","no","no",0.940244106905235,0.0597558930947658
"440","no","no",0.931423280266052,0.0685767197339476
"441","yes","no",0.839525813782728,0.160474186217272
"442","no","no",0.887088169347587,0.112911830652413
"443","no","no",0.915085807493204,0.0849141925067967
"444","no","no",0.828349982137071,0.171650017862929
"445","no","no",0.9091451034784,0.0908548965215997
"446","no","no",0.912484393011695,0.0875156069883049
"447","no","no",0.951286135164679,0.0487138648353208
"448","no","no",0.885680007686394,0.114319992313606
"449","no","no",0.940904968217101,0.0590950317828988
"450","no","no",0.927243454978233,0.0727565450217667
"451","no","no",0.86854877558578,0.13145122441422
"452","no","no",0.938615625381414,0.0613843746185865
"453","no","no",0.917872658412557,0.0821273415874435
"454","no","no",0.930944963059779,0.0690550369402217
"455","no","no",0.855650776935268,0.144349223064732
"456","no","no",0.852901373080764,0.147098626919236
"457","no","no",0.927305307034362,0.0726946929656379
"458","no","no",0.917531921613554,0.0824680783864459
"459","no","no",0.910479918292646,0.0895200817073535
"460","no","no",0.922035696923923,0.0779643030760771
"461","no","no",0.941259902462237,0.0587400975377629
"462","no","no",0.943998742686386,0.0560012573136134
"463","no","no",0.914036700350399,0.0859632996496011
"464","no","no",0.913213842486881,0.0867861575131189
"465","no","no",0.915678811330662,0.0843211886693391
"466","no","no",0.791538774770868,0.208461225229133
"467","no","no",0.887853413563249,0.112146586436751
"468","no","no",0.762988383970697,0.237011616029303
"469","no","no",0.850653301188015,0.149346698811985
"470","no","no",0.869969370473611,0.130030629526388
"471","no","no",0.920314576053605,0.0796854239463949
"472","no","no",0.836435596012157,0.163564403987843
"473","no","no",0.847620674688976,0.152379325311024
"474","no","no",0.921115288866377,0.0788847111336223
"475","no","no",0.911654487402804,0.0883455125971958
"476","no","no",0.937430869156983,0.0625691308430172
"477","yes","no",0.889199245128257,0.110800754871742
"478","no","no",0.922320299253446,0.0776797007465543
"479","no","no",0.875496101692846,0.124503898307154
"480","no","no",0.911220082757614,0.0887799172423868
"481","no","no",0.919290322858988,0.080709677141013
"482","no","no",0.940241553108028,0.059758446891972
"483","no","no",0.881425470475956,0.118574529524044
"484","no","no",0.899612770623746,0.100387229376253
"485","no","no",0.918583531925538,0.081416468074462
"486","no","no",0.828919171322309,0.171080828677691
"487","no","no",0.927404555207998,0.0725954447920015
"488","no","no",0.912508302781524,0.0874916972184757
"489","no","no",0.889412601871663,0.110587398128337
"490","no","no",0.865070480631695,0.134929519368305
"491","no","no",0.825050068416482,0.174949931583518
"492","no","no",0.859399903668059,0.140600096331941
"493","no","no",0.89339912454886,0.10660087545114
"494","no","no",0.875414029308747,0.124585970691252
"495","yes","no",0.881244886642845,0.118755113357155
"496","no","no",0.825664540814984,0.174335459185016
"497","no","no",0.833415991719512,0.166584008280488
"498","no","no",0.915095592014105,0.0849044079858949
"499","no","no",0.89385371328662,0.10614628671338
"500","no","no",0.904479140086123,0.0955208599138772
"501","no","no",0.829994677130812,0.170005322869188
"502","no","no",0.902014538161175,0.0979854618388254
"503","no","no",0.860180631196058,0.139819368803941
"504","no","no",0.713783905154915,0.286216094845085
"505","no","no",0.847532112659318,0.152467887340682
"506","no","no",0.941372775389497,0.0586272246105021
"507","no","no",0.900917630221139,0.0990823697788608
"508","no","no",0.796068333102863,0.203931666897137
"509","no","no",0.914489843764953,0.0855101562350471
"510","no","no",0.861133929639235,0.138866070360765
"511","no","no",0.84186275529101,0.15813724470899
"512","no","no",0.913117082441206,0.0868829175587943
"513","no","no",0.881138959363712,0.118861040636288
"514","no","no",0.83565854811898,0.16434145188102
"515","no","no",0.894461345505302,0.105538654494698
"516","no","no",0.819640111662173,0.180359888337827
"517","yes","no",0.902085703656406,0.0979142963435939
"518","no","no",0.882121695185891,0.117878304814109
"519","no","no",0.933669191947591,0.0663308080524086
"520","no","no",0.918257537281056,0.0817424627189439
"521","no","no",0.857255364832628,0.142744635167372
"522","no","no",0.898244849675624,0.101755150324375
"523","no","no",0.925176853798858,0.0748231462011422
"524","no","no",0.890796611237813,0.109203388762186
"525","no","no",0.839122134120998,0.160877865879001
"526","no","no",0.884354083802222,0.115645916197778
"527","no","no",0.925252853461777,0.0747471465382229
"528","no","no",0.894430231630774,0.105569768369226
"529","no","no",0.905118618673284,0.0948813813267158
"530","no","no",0.933338307985796,0.066661692014203
"531","no","no",0.944170108234938,0.0558298917650615
"532","no","no",0.876060866971841,0.123939133028158
"533","no","no",0.928249584008963,0.0717504159910374
"534","no","no",0.930453079257067,0.069546920742933
"535","no","no",0.914966285917399,0.0850337140826014
"536","no","no",0.883542264907145,0.116457735092855
"537","no","no",0.888625792361085,0.111374207638915
"538","no","no",0.838403047025792,0.161596952974208
"539","no","no",0.885010504440183,0.114989495559816
"540","no","no",0.903450865212662,0.0965491347873371
"541","no","no",0.902850208673825,0.0971497913261751
"542","no","no",0.922794994777231,0.0772050052227694
"543","no","no",0.865302483354214,0.134697516645786
"544","no","no",0.84588363225792,0.15411636774208
"545","no","no",0.8843326024911,0.1156673975089
"546","no","no",0.879741991336984,0.120258008663015
"547","no","no",0.906933378186545,0.0930666218134547
"548","no","no",0.888826072409804,0.111173927590196
"549","no","no",0.780558865493991,0.219441134506009
"550","no","no",0.88249381463211,0.117506185367891
"551","no","no",0.903158517977493,0.0968414820225073
"552","no","no",0.921357878955994,0.078642121044006
"553","no","no",0.86938607800115,0.130613921998851
"554","no","no",0.891959783015744,0.108040216984256
"555","no","no",0.912756169221246,0.0872438307787538
"556","no","no",0.89754649952305,0.10245350047695
"557","no","no",0.902928248171154,0.0970717518288466
"558","no","no",0.89806976268156,0.10193023731844
"559","no","no",0.895868161558661,0.104131838441339
"560","no","no",0.867438515596129,0.132561484403871
"561","no","no",0.893743740496506,0.106256259503494
"562","no","no",0.930014533683283,0.0699854663167164
"563","no","no",0.924811694277705,0.075188305722295
"564","no","no",0.85631149206363,0.14368850793637
"565","no","no",0.898546919369798,0.101453080630201
"566","no","no",0.893722464906009,0.106277535093991
"567","no","no",0.919142656818415,0.0808573431815848
"568","no","no",0.918713890289125,0.0812861097108756
"569","no","no",0.872659980424278,0.127340019575721
"570","no","no",0.901725328239354,0.098274671760646
"571","no","no",0.888539286867631,0.11146071313237
"572","no","no",0.914909937694451,0.0850900623055494
"573","no","no",0.884272306339987,0.115727693660014
"574","no","no",0.9109418893627,0.0890581106373
"575","no","no",0.922818380320319,0.0771816196796814
"576","no","no",0.864829182911961,0.13517081708804
"577","no","no",0.93580346443299,0.0641965355670109
"578","no","no",0.921984071747266,0.0780159282527343
"579","no","no",0.921576128326833,0.0784238716731678
"580","no","no",0.839242811154335,0.160757188845665
"581","no","no",0.910837149986151,0.0891628500138494
"582","no","no",0.887326712909635,0.112673287090365
"583","no","no",0.830235654571914,0.169764345428086
"584","no","no",0.938826529304124,0.0611734706958759
"585","no","no",0.928842576746122,0.0711574232538788
"586","no","no",0.802617987211471,0.197382012788529
"587","no","no",0.93188049402766,0.0681195059723402
"588","no","no",0.845318645062516,0.154681354937485
"589","no","no",0.891649629251184,0.108350370748816
"590","no","no",0.936247007522234,0.0637529924777665
"591","no","no",0.630556515969738,0.369443484030262
"592","no","no",0.907632781079232,0.0923672189207676
"593","no","no",0.840000377283921,0.159999622716079
"594","no","no",0.908904264318424,0.0910957356815764
"595","no","no",0.810607572100934,0.189392427899066
